url,api_working,api_software,api_version,dcat_available,ttl_catalog_available
https://dati.trentino.it,True,CKAN,2.5.2,True,True
https://datos.alcobendas.org,True,CKAN,2.9.7,True,True
https://datos.cdmx.gob.mx,True,CKAN,2.10.0a,False,False
https://datos.cnbs.gob.hn,True,CKAN,2.9.4,False,False
https://datos.edomex.gob.mx,True,CKAN,2.3,False,False
https://datos.gob.ar,True,CKAN,2.7.6,True,False
https://datos.gob.bo,True,CKAN,2.6.0,False,False
https://datos.gob.cl,True,CKAN,2.8.3,True,True
https://datos.gob.do,True,CKAN,2.6.2,False,False
https://datos.icane.es,True,CKAN,2.0,False,False
https://datosabiertos.ayto-arganda.es,True,CKAN,2.8.7,True,True
https://datosabiertos.bogota.gov.co,True,CKAN,2.8.1,True,True
https://datosabiertos.dphuesca.es,True,CKAN,2.3,False,False
https://datosabiertos.malaga.eu,True,CKAN,2.8.4,True,False
https://datosabiertos.regiondemurcia.es,True,CKAN,2.6.2,False,False
https://datosabiertos.rivasciudad.es,True,CKAN,2.9.5,True,True
https://demo.ckan.org,True,CKAN,2.9.9,False,False
https://demo.dev.datopian.com,True,CKAN,2.9.9,False,False
https://discover.data.vic.gov.au,True,CKAN,2.10.1,False,False
https://docs.entsoe.eu,True,CKAN,2.9.7,False,False
https://donnees.ville.montreal.qc.ca,True,CKAN,2.9.9,True,True
https://edx.netl.doe.gov,True,CKAN,2.9.0a,False,False
https://epos-msl.uu.nl,True,CKAN,2.9.5,False,False
https://geodata.gov.gr,True,CKAN,2.2.1,Check failed,Check failed
https://grandest-moissonnage.data4citizen.com,True,CKAN,2.8.7,True,True
https://haifa.datacity.org.il,True,CKAN,2.8.12,False,False
https://hubofdata.ru,True,CKAN,2.9.9,False,False
https://iatiregistry.org,True,CKAN,2.9.8,True,True
https://iranopendata.org,True,CKAN,2.9.2,False,False
https://lincolnshire.ckan.io,True,CKAN,2.6.6,False,False
https://maale-adummim.datacity.org.il,True,CKAN,2.8.12,False,False
https://molecular-dynamics.atb.uq.edu.au,True,CKAN,2.10.1,False,False
https://national-grid-admin.ckan.io,True,CKAN,2.8.7,True,False
https://netanya.datacity.org.il,True,CKAN,2.8.12,False,False
https://offenedaten.aachen.de,True,CKAN,2.9.2,False,False
https://old.datahub.io,True,CKAN,2.6.6,True,True
https://open.regina.ca,True,CKAN,2.9.7,False,False
https://opendata-hro.de,True,CKAN,2.9.5,True,True
https://opendata.comune.bari.it,True,CKAN,2.6.8,True,True
https://opendata.dumaikota.go.id,True,CKAN,2.8.4,False,False
https://opendata.eawag.ch,True,CKAN,2.8.8,Check failed,Check failed
https://opendata.eol.org,True,CKAN,Unknown,Check failed,Check failed
https://opendata.gov.je,True,CKAN,2.7.4,False,False
https://opendata.gov.nt.ca,True,CKAN,2.9.8,True,True
https://opendata.hasadna.org.il,True,CKAN,2.8.12,False,False
https://opendata.hawaii.gov,True,CKAN,2.7.12,True,True
https://opendata.hu,True,CKAN,2.0,False,False
https://opendata.jena.de,True,CKAN,2.8.7,False,False
https://opendata.leipzig.de,True,CKAN,2.2.3b,False,False
https://opendata.nhsbsa.net,True,CKAN,2.8.2,True,True
https://opendata.reus.cat,True,CKAN,2.8.6,True,True
https://opendata.sjgov.org,True,CKAN,2.7.12,True,True
https://opendata.swiss,True,CKAN,2.8.10,False,True
https://opendata.terrassa.cat,True,CKAN,2.8.12,False,False
https://opendata.unex.es,True,CKAN,2.9.3,False,False
https://opendatanepal.com,True,CKAN,2.8.10,False,False
https://opingogn.is,True,CKAN,2.5.2,False,False
https://portaldados.ppgau.uff.br,True,CKAN,2.9.4,False,False
https://rdm.inesctec.pt,True,CKAN,2.5.2,False,False
https://satudata.singkawangkota.go.id,True,CKAN,2.9.5,True,True
https://satudataindonesia.malukuprov.go.id,True,CKAN,2.9.5,True,True
https://scmb-ckan-dev.research.dc.uq.edu.au,True,CKAN,2.9.7,False,False
https://scmb-ckan.research.dc.uq.edu.au,True,CKAN,2.10.1,False,False
https://stage-data.kimetrica.com,True,CKAN,2.7.2,False,False
https://statistics.ukdataservice.ac.uk,True,CKAN,2.9.5,True,True
https://thai.emac.gsfc.nasa.gov,True,CKAN,2.8.3,False,False
https://transparenz.karlsruhe.de,True,CKAN,2.9.5,False,False
https://www.civicdata.io,True,CKAN,2.2.1,False,False
https://www.datosabiertos.gob.pa,True,CKAN,2.9.7,False,False
https://www.offenedaten.frankfurt.de,True,CKAN,2.9.7,True,True
https://www.offenesdatenportal.de,True,CKAN,2.8.2,True,True
https://www.opendata.nhs.scot,True,CKAN,2.8.4,False,False
https://www.opentourism.net,True,CKAN,2.9.7,False,False
https://www.resourcedata.org,True,CKAN,2.7.11,True,True
